"K0","K1","K2","KW","KB","KS","KspA","KspC","KP1","KP2","KP3","KSi","KF"
0.0655607562482198,7.43629856978444e-07,1.46470983424575e-10,2.49266027376197e-15,9.29647116741971e-10,0.212738299121342,2.34454065838204e-07,1.45561983366575e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0653309510613756,7.40026558516212e-07,2.28141236258077e-10,2.43259580195061e-15,1.0170483531065e-09,0.220969570993379,3.65150031677171e-07,2.26705229646035e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0651019513933649,7.36440720030453e-07,3.09870873964627e-10,2.37397867569691e-15,1.11266666020731e-09,0.229519327298691,4.95917792431252e-07,3.07893050158842e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0648737544206632,7.32872256917913e-07,3.91660696290627e-10,2.31677401899014e-15,1.2172745700393e-09,0.238399890839369,6.26758605649724e-07,3.89126225660774e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0654425114678592,7.41775197212672e-07,1.8845070049694e-10,2.46159786386409e-15,9.73599382774188e-10,0.216931002749792,3.01636625092441e-07,1.87272612430427e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.065311136347046,7.39919845118993e-07,2.12145723641392e-10,3.31457870081825e-15,9.8884489341792e-10,0.224410968220373,3.39340122814068e-07,2.106810182032e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0650822061340628,7.3633452371874e-07,2.9393804224643e-10,3.24942624783204e-15,1.08181163821929e-09,0.233092235073511,4.70130155631825e-07,2.91882666438511e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0648540783729331,7.32766575186139e-07,3.75790578068889e-10,3.18575452563835e-15,1.18351869780257e-09,0.242109333970747,6.00993230181474e-07,3.73129662999621e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0646267502508828,7.29215915340027e-07,4.57704145226046e-10,3.12352839459784e-15,1.29478779721203e-09,0.251475256467777,7.31930625759169e-07,4.54422802143968e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0651933417788561,7.38074438356797e-07,2.54188092256402e-10,3.2808963480966e-15,1.03559593802119e-09,0.228832890198749,4.06570887975227e-07,2.52421576146282e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0650624668634485,7.36228342720759e-07,2.77927509005168e-10,4.12582601404755e-15,1.05181224749616e-09,0.236724101234261,4.4424978427473e-07,2.7581470800267e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0648344082928992,7.32660908693894e-07,3.59842786129429e-10,4.05565002109618e-15,1.15069889942996e-09,0.245879963504987,5.7513509903271e-07,3.57075512508733e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0646071491189007,7.29110760860453e-07,4.41819127523246e-10,3.98698775949093e-15,1.25888242916105e-09,0.255389950317673,7.0609472380476e-07,4.38382452759951e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0643806865393885,7.25577815459255e-07,5.23857361933499e-10,3.91980382815204e-15,1.3772368872826e-09,0.265267758273197,8.37129960009946e-07,5.19736336748882e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.064945120793265,7.34392142798376e-07,3.20032986307698e-10,4.08955689623288e-15,1.10154029041196e-09,0.24138777294599,5.11529377302531e-07,3.17585580971795e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0648147441787514,7.32555257438981e-07,3.43817235469414e-10,4.92650716845025e-15,1.11878921694078e-09,0.24971283957092,5.49184276177681e-07,3.40963813906843e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.064587553931893,7.29005621544377e-07,4.25856378930998e-10,4.8513714399214e-15,1.22397274199125e-09,0.259369242541037,6.80166109034597e-07,4.22284542159e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0643611600379157,7.2547318560139e-07,5.07957448686658e-10,4.77778206248539e-15,1.33904514849903e-09,0.269399058902638,8.11223542024391e-07,5.03652207133049e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0641355597054236,7.21957866266728e-07,5.90121288376256e-10,4.70570337578651e-15,1.46493614457602e-09,0.279816728562732,9.42357899071567e-07,5.8506763079416e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0646978448989364,7.30728218422961e-07,3.85986286319346e-10,4.88768413539454e-15,1.17168382653123e-09,0.254631477482179,6.16513329883501e-07,3.82765394786133e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0649036038119893,7.3387231400525e-07,3.20140790772704e-10,4.6401559200586e-15,1.09425761376987e-09,0.244967959656734,5.11494642566677e-07,3.17564015736727e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0646761020921432,7.30316296242227e-07,4.0213534282715e-10,4.56679415301141e-15,1.19713478793889e-09,0.254441522496541,6.42441667824505e-07,3.9886313351631e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0644493978169611,7.26777509354506e-07,4.84191509844002e-10,4.49496706541889e-15,1.30968401083923e-09,0.264281453219747,7.73463827338902e-07,4.80208898776141e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0642234881912202,7.23255869848956e-07,5.66310130083773e-10,4.42463908979538e-15,1.43281460494613e-09,0.274501920247277,9.0456243690722e-07,5.61602128435608e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0647865442657525,7.32041990167084e-07,3.62286955513572e-10,4.60224635305204e-15,1.14599240741582e-09,0.249793462127194,5.788058592026e-07,3.59354522381656e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
0.0655607562482198,8.54771236710913e-07,1.59858345003936e-10,2.77811965591976e-15,1.09234681138668e-09,0.234566740695225,3.00718463461141e-07,1.89602121285266e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0653309510613756,8.50629396716329e-07,2.48993210823553e-10,2.71117660254099e-15,1.19504434051863e-09,0.243642598793061,4.68353389676438e-07,2.95295457324895e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0651019513933649,8.46507626230174e-07,3.38192889258621e-10,2.64584664469111e-15,1.30739702896434e-09,0.253069620060781,6.36080402401221e-07,4.01046853642365e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0648737544206632,8.42405828004566e-07,4.27458253151895e-10,2.58209091235965e-15,1.43031261133205e-09,0.262861391706399,8.03901114609375e-07,5.06857327213043e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0654425114678592,8.52639383334142e-07,2.0567498348085e-10,2.7434999797425e-15,1.14399126527556e-09,0.239189645122348,3.86889014260048e-07,2.43932404287339e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.065311136347046,8.50506734155569e-07,2.31535717778798e-10,3.69416415737184e-15,1.16190492804042e-09,0.247437107512494,4.35248755266982e-07,2.74423081095767e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0650822061340628,8.46385558037449e-07,3.20803806109543e-10,3.62155044736185e-15,1.27114199812855e-09,0.257009133232624,6.03004334870069e-07,3.80192488747368e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0648540783729331,8.42284351299834e-07,4.10137615475899e-10,3.55058704139174e-15,1.39064904572815e-09,0.266951449720003,7.70853600190673e-07,4.86020964972847e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0646267502508828,8.38203017180017e-07,4.99538034404984e-10,3.48123477563168e-15,1.52139160788632e-09,0.277278381555062,9.38798192095941e-07,5.91909544334193e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0651933417788561,8.48385516717143e-07,2.77420734112438e-10,3.65662450259473e-15,1.21683798121908e-09,0.252312749699916,5.21481136540902e-07,3.28792348033471e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0650624668634485,8.46263507447215e-07,3.03329919563976e-10,4.5983154893514e-15,1.23589234456668e-09,0.261013654334311,5.69809322958098e-07,3.59263129764352e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0648344082928992,8.42162892112299e-07,3.9273220475015e-10,4.52010294372534e-15,1.35208537844296e-09,0.271108972290546,7.37687114298297e-07,4.65109591562665e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
