"","K0","K1","K2","KW","KB","KS","KspA","KspC","KP1","KP2","KP3","KSi","KF"
"1",0.0655584041240692,7.43642121161344e-07,1.46383377660554e-10,2.49328130905067e-15,9.28390902724049e-10,0.212752592561022,2.33990794254653e-07,1.45274358879032e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"2",0.0653300418958099,7.40036496698051e-07,2.28127647754418e-10,2.43313439775637e-15,1.01645811446531e-09,0.220975582414951,3.65012301743408e-07,2.26619719325471e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"3",0.0651020697483051,7.36446376572337e-07,3.09970285410278e-10,2.37434696906286e-15,1.11237143768652e-09,0.229512031898415,4.96100015322589e-07,3.08006184155401e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"4",0.0648744739807747,7.32871742477686e-07,3.91916043687827e-10,2.31682540361245e-15,1.21715779760393e-09,0.238377250129482,6.27257917092282e-07,3.89436225675645e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"5",0.0654409523925639,7.41786513964558e-07,1.88396523506612e-10,2.46218388955128e-15,9.7275024187438e-10,0.216941868555986,3.01341583528456e-07,1.87089434394782e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"6",0.0653098157916024,7.39932118678267e-07,2.11926577585127e-10,3.31430355937841e-15,9.87932171614731e-10,0.224378373352636,3.38892715057766e-07,2.10403242852416e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"7",0.065081991527676,7.36341949704996e-07,2.93846629298671e-10,3.2492362971367e-15,1.0814191158833e-09,0.233069814035592,4.7000631873931e-07,2.91805781682326e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"8",0.0648545447057523,7.3276726870689e-07,3.75869891383905e-10,3.18561381001184e-15,1.18342880015991e-09,0.242092390347085,6.0119017523058e-07,3.73251937321713e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"9",0.0646274616238727,7.2920805738276e-07,4.58001117111402e-10,3.12334247864403e-15,1.29498814966498e-09,0.251461411404672,7.32448266732733e-07,4.5474418214015e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"10",0.0651926422090354,7.38084459265534e-07,2.54029488784521e-10,3.28066590977675e-15,1.03499331110144e-09,0.228806274519579,4.0629034595056e-07,2.52247400222388e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"11",0.0650618940531255,7.36238219808828e-07,2.77617364090536e-10,4.12510740646258e-15,1.05127093287163e-09,0.236689768455333,4.43794838680308e-07,2.75532252747261e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"12",0.064834596148997,7.32663489110956e-07,3.59718153981458e-10,4.05527816712013e-15,1.15062390172135e-09,0.24587051422577,5.75004681495252e-07,3.56994542126111e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"13",0.0646076630474124,7.29104230028499e-07,4.41926997180293e-10,3.98697899540846e-15,1.25917623910929e-09,0.255400071623237,7.06288823940293e-07,4.38502960803174e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"14",0.0643810810480628,7.2556042427891e-07,5.24248646809999e-10,3.92011627197513e-15,1.3779548702517e-09,0.265293749766082,8.37651248048132e-07,5.20059981043437e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"15",0.0649449926534234,7.34398499335816e-07,3.19812588817881e-10,4.08901094754354e-15,1.1012633136638e-09,0.241367016072705,5.11241441200398e-07,3.17406814397799e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"16",0.0648146283369062,7.32560403649936e-07,3.43460829919983e-10,4.9259492144945e-15,1.11870195950717e-09,0.249711907127469,5.48701462030463e-07,3.40664056320575e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"17",0.0645878451880407,7.29001094023494e-07,4.25747314630335e-10,4.85151637189898e-15,1.22436724499397e-09,0.259402812243445,6.80011687020489e-07,4.22188668476585e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"18",0.0643614142034386,7.25457239663369e-07,5.08146695479384e-10,4.77869888945658e-15,1.339908527545e-09,0.269460204985508,8.11400258292526e-07,5.03761922314958e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"19",0.064135321680434,7.21928822260382e-07,5.90663725590087e-10,4.70740314780227e-15,1.46635273239109e-09,0.279899394471555,9.42871158115116e-07,5.85386290247101e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"20",0.0646979931539955,7.30728613272314e-07,3.85750916349896e-10,4.88747536704608e-15,1.1718550225843e-09,0.254649222473607,6.1619916605139e-07,3.82570344594358e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
"21",0.064903357752782,7.33879423452182e-07,3.19795587540074e-10,4.63946117777438e-15,1.09399495186803e-09,0.244951697095799,5.11023984474252e-07,3.1727180529808e-07,0.0240145605964684,5.97505317602813e-07,4.28014008227797e-10,1.31194404355706e-10,0.00281632949168821
